"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"LOGO","desc","G***,","REV_A_Mask","libref","0","1","","",
"LOGO","desc","G***,","AWTRIX_small_Mask","libref","0","1","","",
"LOGO","desc","G***,","Final-Resolution-Silks","libref","0","1","","",
"LOGO","desc","G***,","Integrated_control_board","libref","0","1","","",
"LOGO","desc","G***,","Final-Resolution-sy","libref","0","1","","",
"Through Hole Items ",
"1000uF","desc","C1,","CP_Radial_D8.0mm_P5.00mm","libref","2","1","","",
"100nF","desc","C2,","C_Disc_D5.0mm_W2.5mm_P5.00mm","libref","2","1","","",
"Speaker","desc","LS1,","PinHeader_1x02_P2.54mm","libref","2","1","","",
"1K","desc","R3,R2,R1,","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","libref","2","3","","",
"LDR_GL5528","desc","R4,","PinHeader_1x02_P2.54mm","libref","2","1","","",
"Switch","desc","SW1,","PinHeader_1x03_P2.54mm","libref","3","1","","",
"Power_IN_5V","desc","U1,","PinHeader_1x02_P2.54mm","libref","2","1","","",
"Serial_Connection","desc","U10,","PinHeader_1x04_P2.54mm","libref","4","1","","",
"Gesture_Recognition","desc","U11,","PinHeader_1x05_P2.54mm","libref","5","1","","",
"Matrix_8x32","desc","U12,","PinHeader_1x03_P2.54mm","libref","3","1","","",
"BEM280-5V","desc","U2,","PinHeader_1x04_P2.54mm","libref","4","1","","",
"Power_3.3V","desc","U3,","PinHeader_1x02_P2.54mm","libref","2","1","","",
"Power_5V","desc","U4,","PinHeader_1x02_P2.54mm","libref","2","1","","",
"DFPlayer_Mini","desc","U5,","DFPlayer","libref","16","1","","",
"WeMos_D1_mini","desc","U6,","wemos-d1-mini-with-pin-header-and-connector","libref","16","1","","",
"Touch_Button_TTP223","desc","U9,U8,U7,","PinHeader_1x03_P2.54mm","libref","3","3","","",
