"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"G***","REV_A_Mask","66.7mm","2.4mm","66.7mm","2.4mm","66.7mm","2.4mm","T","0","LOGO",
"G***","Final-Resolution-Silks","42.4mm","48.7mm","42.4mm","48.7mm","42.4mm","48.7mm","T","0","LOGO",
"G***","Integrated_control_board","48.3mm","22.1mm","48.3mm","22.1mm","48.3mm","22.1mm","T","0","LOGO",
"G***","AWTRIX_small_Mask","48.5mm","31.0mm","48.5mm","31.0mm","48.5mm","31.0mm","T","0","LOGO",
"G***","Final-Resolution-sy","41.5mm","33.9mm","41.5mm","33.9mm","41.5mm","33.9mm","B","180","LOGO",
"Through Hole Items ",
"C1","CP_Radial_D8.0mm_P5.00mm","14.0mm","8.0mm","14.0mm","8.0mm","14.0mm","8.0mm","T","0","1000uF",
"C2","C_Disc_D5.0mm_W2.5mm_P5.00mm","82.0mm","47.0mm","82.0mm","47.0mm","82.0mm","47.0mm","T","180","100nF",
"LS1","PinHeader_1x02_P2.54mm","77.5mm","54.5mm","77.5mm","54.5mm","77.5mm","54.5mm","T","270","Speaker",
"R1","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","43.7mm","42.3mm","43.7mm","42.3mm","43.7mm","42.3mm","T","0","1K",
"R2","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","43.7mm","38.25mm","43.7mm","38.25mm","43.7mm","38.25mm","T","0","1K",
"R3","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","12.5mm","49.0mm","12.5mm","49.0mm","12.5mm","49.0mm","T","0","1K",
"R4","PinHeader_1x02_P2.54mm","6.5mm","55.0mm","6.5mm","55.0mm","6.5mm","55.0mm","T","0","LDR_GL5528",
"SW1","PinHeader_1x03_P2.54mm","26.0mm","11.5mm","26.0mm","11.5mm","26.0mm","11.5mm","T","0","Switch",
"U1","PinHeader_1x02_P2.54mm","7.0mm","9.0mm","7.0mm","9.0mm","7.0mm","9.0mm","T","0","Power_IN_5V",
"U10","PinHeader_1x04_P2.54mm","46.0mm","6.5mm","46.0mm","6.5mm","46.0mm","6.5mm","T","90","Serial_Connection",
"U11","PinHeader_1x05_P2.54mm","50.34mm","55.0mm","50.34mm","55.0mm","50.34mm","55.0mm","T","90","Gesture_Recognition",
"U12","PinHeader_1x03_P2.54mm","34.5mm","6.5mm","34.5mm","6.5mm","34.5mm","6.5mm","T","90","Matrix_8x32",
"U2","PinHeader_1x04_P2.54mm","74.5mm","11.54mm","74.5mm","11.54mm","74.5mm","11.54mm","T","0","BEM280-5V",
"U3","PinHeader_1x02_P2.54mm","67.6mm","55.0mm","67.6mm","55.0mm","67.6mm","55.0mm","T","0","Power_3.3V",
"U4","PinHeader_1x02_P2.54mm","63.3mm","9.04mm","63.3mm","9.04mm","63.3mm","9.04mm","T","0","Power_5V",
"U5","DFPlayer","81.0mm","40.5mm","81.0mm","40.5mm","81.0mm","40.5mm","T","270","DFPlayer_Mini",
"U6","wemos-d1-mini-with-pin-header-and-connector","19.0mm","31.5mm","19.0mm","31.5mm","27.89mm","42.93mm","T","0","WeMos_D1_mini",
"U7","PinHeader_1x03_P2.54mm","13.5mm","55.0mm","13.5mm","55.0mm","13.5mm","55.0mm","T","90","Touch_Button_TTP223",
"U8","PinHeader_1x03_P2.54mm","25.038302mm","55.0mm","25.038302mm","55.0mm","25.038302mm","55.0mm","T","90","Touch_Button_TTP223",
"U9","PinHeader_1x03_P2.54mm","36.5mm","55.0mm","36.5mm","55.0mm","36.5mm","55.0mm","T","90","Touch_Button_TTP223",
